Date,Open,High,Low,Close,Volume,Adj Close,Number of Trades,VWAP,Is OTC,Ticker
2024-02-06,186.86,189.31,186.7695,189.3,43490759.0,189.3,530825,188.4788,False,AAPL
2024-02-07,190.64,191.05,188.61,189.41,53438955.0,189.41,596088,189.3803,False,AAPL
2024-02-08,189.385,189.535,187.35,188.32,40962046.0,188.32,521464,188.3032,False,AAPL
2024-02-09,188.65,189.99,188.0,188.85,45155216.0,188.85,544714,189.0056,False,AAPL
2024-02-12,188.415,188.67,186.79,187.15,41781934.0,187.15,585515,187.5914,False,AAPL
2024-02-13,185.77,186.21,183.5128,185.04,56529529.0,185.04,644015,185.0421,False,AAPL
2024-02-14,185.32,185.53,182.44,184.15,54617917.0,184.15,679072,183.6207,False,AAPL
2024-02-15,183.55,184.49,181.35,183.86,65434496.0,183.86,756083,182.8487,False,AAPL
2024-02-16,183.42,184.85,181.665,182.31,49752465.0,182.31,611770,182.7317,False,AAPL
2024-02-20,181.79,182.43,180.0,181.56,53574453.0,181.56,712335,181.1005,False,AAPL
2024-02-21,181.94,182.8888,180.66,182.32,41496371.0,182.32,522492,181.9941,False,AAPL
2024-02-22,183.48,184.955,182.46,184.37,52284192.0,184.37,613892,183.8372,False,AAPL
2024-02-23,185.01,185.04,182.23,182.52,44926677.0,182.52,549250,182.9876,False,AAPL
2024-02-26,182.24,182.76,180.65,181.16,40867421.0,181.16,615639,181.3213,False,AAPL
2024-02-27,181.1,183.9225,179.56,182.63,54318851.0,182.63,669751,181.8192,False,AAPL
2024-02-28,182.51,183.12,180.13,181.42,48943139.0,181.42,596442,181.1915,False,AAPL
2024-02-29,181.27,182.57,179.53,180.75,136682597.0,180.75,813073,180.6781,False,AAPL
2024-03-01,179.55,180.53,177.38,179.66,73450582.0,179.66,911077,179.0322,False,AAPL
2024-03-04,176.15,176.9,173.79,175.1,81505451.0,175.1,1167166,174.8938,False,AAPL
2024-03-05,170.76,172.04,169.62,170.12,94702355.0,170.12,1108820,170.3234,False,AAPL
2024-03-06,171.06,171.24,168.68,169.12,68568907.0,169.12,896297,169.5506,False,AAPL
2024-03-07,169.15,170.73,168.49,169.0,71763761.0,169.0,825405,169.3619,False,AAPL
2024-03-08,169.0,173.7,168.94,170.73,76267041.0,170.73,925213,171.5322,False,AAPL
2024-03-11,172.94,174.38,172.05,172.75,60139473.0,172.75,793618,172.9273,False,AAPL
2024-03-12,173.15,174.03,171.01,173.23,59813522.0,173.23,735065,172.8726,False,AAPL
